pais,casos_totales,region,fallecidos,recuperados,casos_activos,condicion_critica,tests_realizados,poblacion
Argentina,2118676,S,52192,1916936,149548,3505.0,7510854,45472346
Belize,12320,C,315,11870,135,2.0,85900,402419
Bolivia,250557,S,11703,194370,44484,71.0,733988,11778966
Brasil,10647845,S,257562,9527173,863110,8318.0,28600000,213568068
Canada,872747,N,22045,820450,30252,567.0,24620804,37962879
Chile,832512,S,20684,787700,24128,1683.0,9455215,19225662
Colombia,2259599,S,59972,2156057,43570,2240.0,11528886,51244298
Costa Rica,205514,C,2820,183911,18783,141.0,690013,5125140
Cuba,51587,C,328,46926,4333,62.0,2428864,11321984
Ecuador,286725,C,15850,247898,22977,517.0,1014204,17821166
El Salvador,60491,C,1869,56339,2283,31.0,761858,6508074
Guadalupe,10149,C,162,2242,7745,5.0,135623,400170
Guatemala,175411,C,6412,162481,6518,5.0,923962,18135506
Guyana Francesa,16627,C,85,9995,6547,6.0,149894,303799
Haiti,12531,C,250,9828,2453,,54379,11495085
Honduras,171758,C,4187,66903,100668,406.0,453191,10009297
Jamaica,23838,C,432,13625,9781,25.0,215678,2969806
Mexico,2097194,N,187187,1645312,264695,4798.0,5493439,129835517
Panama,342019,C,5871,328100,8048,195.0,1921987,4359910
Paraguay,161530,S,3218,135373,22939,261.0,758780,7190874
Peru,1338297,S,46894,1244029,47374,2140.0,7648496,33277411
Republica Dominicana,240201,C,3118,192651,44432,191.0,1211817,10920424
USA,29370705,N,529214,19905322,8936169,15088.0,361948812,332299143
Uruguay,59171,S,617,51365,7189,75.0,1029860,3481780
Venezuela,139934,S,1353,132052,6529,131.0,2898004,28381910
