	provincia	habitantes	superficie
0	Ciudad Autónoma de Buenos Aires	2890151	200
1	Buenos Aires	15625084	307571
2	      Gran Buenos Aires	9916715	3680
3	      Interior de Buenos Aires	5708369	303891
4	Catamarca	367828	102602
5	Chaco	1055259	99633
6	Chubut	509108	224686
7	Córdoba	3308876	165321
8	Corrientes	992595	88199
9	Entre Ríos	1235994	78781
10	Formosa	530162	72066
11	Jujuy	673307	53219
12	La Pampa	318951	143440
13	La Rioja	333642	89680
14	Mendoza	1738929	148827
15	Misiones	1101593	29801
16	Neuquén	551266	94078
17	Río Negro	638645	203013
18	Salta	1214441	155488
19	San Juan	681055	89651
20	San Luis	432310	76748
21	Santa Cruz	273964	243943
22	Santa Fe	3194537	133007
23	Santiago del Estero	874006	136351
24	Tierra del Fuego, Antártida e Islas del Atlántico Sur	127205	1002445
25	Tucumán	1448188	22524
