order,symbol,locus_overlap,gene_coordinates,start,end,length,effective_length,logFC,pvalue,gen.fdr
0,AT1G01010,-,1:3631-5899,3631,5899,2269,1688,-0.350800262766826,4.48077425922405e-06,1.36466625486801e-05
1,AT1G01020,-,1:5928-8737,5928,8737,2810,1774,-0.390108372590312,0.0504205602792525,0.080442392553459
2,AT1G01030,-,1:11649-13714,11649,13714,2066,1905,1.19864854977784,3.82618735966562e-05,0.0001039464362299
3,AT1G01040,-,1:23146-31227,23146,31227,8082,6254,1.18179239842122,4.7108453824141194e-11,2.34859171240334e-10
4,AT1G01046,-,1:28500-28706,28500,28706,207,207,0.0666652103956198,0.800795672770237,0.857999747094075
5,AT1G01050,-,1:31170-33153,31170,33153,1984,976,-0.594857540394287,3.29228398833116e-09,1.40904897481227e-08
6,AT1G01060,-,1:33379-37871,33379,37871,4493,3234,0.619267443208723,0.0660757469339352,0.102365241795703
7,AT1G01070,-,1:38752-40944,38752,40944,2193,1450,0.378861007127259,4.41502440179162e-07,1.51123420065751e-06
8,AT1G01080,-,1:45296-47019,45296,47019,1724,1322,0.702948333715183,2.14891127214023e-08,8.45627102131316e-08
9,AT1G01090,-,1:47485-49286,47485,49286,1802,1627,1.86632167787625,3.29239889547928e-88,5.40944052154587e-86
10,AT1G01100,-,1:50075-51199,50075,51199,1125,679,0.180309231184619,0.0191382998957875,0.0335874539999235
11,AT1G01110,-,1:52239-54692,52239,54692,2454,1851,0.460763480262576,0.108344266582372,0.158912913048532
12,AT1G01120,-,1:57269-59167,57269,59167,1899,1899,4.69918663539494,2.88638038083909e-10,1.3549567168308102e-09
13,AT1G01130,-,1:61905-63811,61905,63811,1907,375,0.492856557345909,0.0432644818013194,0.0701833437416597
14,AT1G01140,-,1:64166-67625,64166,67625,3460,1707,2.20179168006537,0.0008590842299717,0.0019124409848507
15,AT1G01160,-,1:72339-74096,72339,74096,1758,1147,0.856895890924078,7.60456940609195e-18,6.139891824992751e-17
16,AT1G01170,-,1:73931-74737,73931,74737,807,515,1.20805861846524,2.78120456401054e-06,8.69436671753152e-06
17,AT1G01180,-,1:75583-76758,75583,76758,1176,1176,-0.158331241030025,0.185430748490363,0.253943149404151
18,AT1G01190,-,1:83045-84864,83045,84864,1820,1608,0.927598640851078,7.94416492247876e-12,4.22127549944879e-11
19,AT1G01200,-,1:86515-88213,86515,88213,1699,982,0.310232912300671,0.0072714789035981,0.0138606034213761
20,AT1G01210,-,1:88898-89745,88898,89745,848,616,0.174045764998854,0.136080098067226,0.194059689739313
21,AT1G01220,-,1:91376-95651,91376,95651,4276,3532,-0.56312514912026,1.74426836125144e-07,6.27598573546401e-07
22,AT1G01225,-,1:95987-97407,95987,97407,1421,1025,3.06192328791374,6.30446923673339e-32,1.0708945640365198e-30
23,AT1G01230,-,1:97456-99240,97456,99240,1785,832,0.276949998339094,0.0056596971711157,0.0110086891229895
24,AT1G01240,-,1:99894-101834,99894,101834,1941,1941,-0.110266505434008,0.207821697387912,0.280653013798659
25,AT1G01250,-,1:104491-105330,104491,105330,840,840,0.984062094884685,0.006830939253414,0.0130840006374585
26,AT1G01260,-,1:108946-111609,108946,111609,2664,2664,-2.43418044231064,0.999999999999999,1.0
27,AT1G01290,-,1:114286-116108,114286,116108,1823,1227,0.20176739668304,0.0145011477550359,0.0260627598470471
28,AT1G01300,-,1:116943-118764,116943,118764,1822,1822,0.845055727508734,2.62798081368138e-12,1.44651917541679e-11
29,AT1G01320,-,1:121067-130577,121067,130577,9511,6079,-0.187281144486297,0.141908271665296,0.20113512266111
30,AT1G01340,-,1:132328-135831,132328,135831,3504,2535,0.672320396552945,1.36652388038275e-05,3.92191719944135e-05
31,AT1G01350,-,1:136124-138162,136124,138162,2039,1400,0.612490751083366,1.9429974327842003e-10,9.26153795560245e-10
32,AT1G01360,-,1:141971-143183,141971,143183,1213,1000,-0.354154567777415,0.026733267073692,0.0454806044616664
33,AT1G01370,-,1:143564-145684,143564,145684,2121,992,-0.0040068715832463,1.0,1.0
34,AT1G01380,-,1:147153-147942,147153,147942,790,568,0.323158054702757,0.0005905208368839,0.0013515298147914
35,AT1G01390,-,1:148120-149806,148120,149806,1687,1687,0.970724345706663,7.5626691601545e-07,2.51853839690455e-06
36,AT1G01420,-,1:154492-156011,154492,156011,1520,1520,0.0165027890191333,0.983379534714504,1.0
37,AT1G01430,-,1:156801-158655,156801,158655,1855,1642,0.522962650719551,0.0001120241321765,0.0002851439591431
38,AT1G01440,-,1:159856-162572,159856,162572,2717,2221,1.24227090227065,4.3863798798777e-07,1.50226026286311e-06
39,AT1G01448,-,1:163419-166239,163419,166239,2821,2481,0.398100223286338,0.0239505050581829,0.0411765049458491
40,AT1G01450,-,1:164105-165517,164105,165517,1413,1413,-1.17710074367669,7.46798205232211e-39,1.72880991001761e-37
41,AT1G01470,-,1:172146-172948,172146,172948,803,727,-0.55198500338296,2.76906086462738e-10,1.3018582935596902e-09
42,AT1G01490,-,1:180059-182358,180059,182358,2300,1168,0.0200707505065868,0.785889053465552,0.8456483230927
43,AT1G01500,-,1:185133-186923,185133,186923,1791,1461,0.188685126804242,0.444929070577616,0.534698240944011
44,AT1G01510,-,1:187211-190056,187211,190056,2846,2155,0.0032065489011547,0.981876747039545,1.0
45,AT1G01520,-,1:190596-192139,190596,192139,1544,864,0.453382662350918,0.0099845698749111,0.0185169837476377
46,AT1G01540,-,1:195780-198684,195780,198684,2905,1989,0.207632123189632,0.23525529059011,0.312400086321199
47,AT1G01550,-,1:199639-201775,199639,201775,2137,1559,0.465247299175699,0.0493680343667706,0.0790075791788177
48,AT1G01600,-,1:218994-221286,218994,221286,2293,2163,-0.991609359555289,1.49896320518972e-13,9.00930750001692e-13
49,AT1G01610,-,1:221691-224340,221691,224340,2650,1856,-1.71638689068859,0.29939204057708,0.383504389771911
50,AT1G01620,-,1:225665-227302,225665,227302,1638,1308,-0.454546663370382,0.0886206482321563,0.13303128679481
51,AT1G01630,-,1:229013-230917,229013,230917,1905,1203,0.386124554091102,0.0025159866760244,0.0051763972326097
52,AT1G01640,-,1:230994-232508,230994,232508,1515,994,6.28810355444298,4.06494637229072e-06,1.24702237851866e-05
53,AT1G01650,-,1:232841-237817,232841,237817,4977,2220,0.0535539940475198,0.652470585625674,0.730405118644935
54,AT1G01690,-,1:249141-252462,249141,252462,3322,1692,-0.0807626317965234,0.473150051976221,0.562928796218553
55,AT1G01700,-,1:259495-261474,259495,261474,1980,1458,0.0485528505163159,0.735954444793822,0.803890699655357
56,AT1G01710,-,1:262828-267771,262828,267771,4944,2492,0.698322940683535,2.02540540489e-10,9.63949673088637e-10
57,AT1G01720,-,1:268330-269819,268330,269819,1490,1316,0.339759219209416,2.05953240323526e-06,6.53070514064319e-06
58,AT1G01725,-,1:269792-270775,269792,270775,984,453,-1.02383691474144,1.07199397599919e-12,6.07528698363885e-12
59,AT1G01730,-,1:270956-272061,270956,272061,1106,910,0.383605960958676,5.44999073544888e-07,1.84374139931385e-06
60,AT1G01740,-,1:272111-274569,272111,274569,2459,1688,-0.181489187204794,0.139129025979199,0.197678847197506
61,AT1G01750,-,1:275366-276310,275366,276310,945,769,0.319894569968441,0.16149370503585,0.225046320475538
62,AT1G01760,-,1:276266-278448,276266,278448,2183,1312,-0.106360341764862,0.382793836639435,0.472285378192966
63,AT1G01770,AT1G01780,1:278615-282891,278615,282891,4277,2362,0.376718826561137,0.0006032456242788,0.001379292889207
64,AT1G01780,AT1G01770,1:282761-284245,282761,284245,1485,939,1.50126773932253,1.75890635123767e-18,1.4796490855042402e-17
65,AT1G01790,-,1:284610-291094,284610,291094,6485,3892,0.490146911889563,0.0046164430928281,0.0091082765633843
66,AT1G01800,-,1:293342-295040,293342,295040,1699,1098,-0.786078036042377,0.0027157303546593,0.0055590132044768
67,AT1G01820,-,1:296001-298120,296001,298120,2120,1048,0.371433373131878,0.0498605932070487,0.079692817965054
68,AT1G01830,-,1:298535-302315,298535,302315,3781,2522,0.111731409380322,0.425863973369377,0.515759330044087
69,AT1G01840,-,1:303537-304358,303537,304358,822,822,2.21699649527634,1.0,1.0
70,AT1G01860,-,1:304133-306287,304133,306287,2155,1350,0.185240215996264,0.131895242675878,0.188962657266791
71,AT1G01900,-,1:310316-313130,310316,313130,2815,2460,-0.483561513113928,6.73980948953653e-07,2.25665109076168e-06
72,AT1G01910,-,1:313101-315902,313101,315902,2802,1635,-0.419409669635144,3.85554082445858e-07,1.32731264503798e-06
73,AT1G01920,-,1:316128-319650,316128,319650,3523,1946,1.14922301032367,0.633239385080084,0.712269624584808
74,AT1G01930,-,1:319836-322860,319836,322860,3025,1999,0.138242404060192,0.106822946390789,0.156929484308545
75,AT1G01940,-,1:323027-324917,323027,324917,1891,736,0.654694403247156,0.0140726985540513,0.0253442352657403
76,AT1G01950,-,1:325379-330619,325379,330619,5241,3058,-0.381255121244383,0.0009093274928899,0.0020163112663316
77,AT1G01960,-,1:330588-337582,330588,337582,6995,5495,0.969115935329424,0.0011755789031509,0.0025596104041163
78,AT1G01970,-,1:338291-340077,338291,340077,1787,1649,-0.164562921329233,0.353272988104233,0.440872911013187
79,AT1G01990,-,1:343166-344341,343166,344341,1176,1176,-0.903473629275874,1.05676405207214e-09,4.727682262836471e-09
80,AT1G02000,-,1:345812-347592,345812,347592,1781,1781,0.0521283111298988,0.66607307567448,0.742721484863207
81,AT1G02010,-,1:347891-352480,347891,352480,4590,2460,4.205968686642,2.60526230934739e-29,3.87574519513972e-28
82,AT1G02020,-,1:352637-354969,352637,354969,2333,2333,-0.26331065654579,0.426260925337663,0.516105408883465
83,AT1G02050,-,1:359117-360518,359117,360518,1402,1312,-0.757813246509556,4.8904028834962e-11,2.43418820201047e-10
84,AT1G02060,-,1:360918-363094,360918,363094,2177,2177,-0.0021437998162679,0.984365178785534,1.0
85,AT1G02080,-,1:373335-386847,373335,386847,13513,7566,0.0331300876291595,0.613882773041761,0.695282300593733
86,AT1G02090,-,1:387277-389647,387277,389647,2371,1659,-0.153488261338806,0.436284392642754,0.526251041697334
87,AT1G02100,-,1:389812-392816,389812,392816,3005,1435,-0.25264516061358,1.0,1.0
88,AT1G02110,-,1:392831-395528,392831,395528,2698,2314,0.0514006781667742,0.615074483572134,0.696117701724003
89,AT1G02120,-,1:395761-399897,395761,399897,4137,1974,0.996785733385563,6.12338737010722e-35,1.18547247042138e-33
90,AT1G02130,-,1:400035-401882,400035,401882,1848,1021,-0.408367941416025,3.2541211995889e-06,1.00996346024018e-05
91,AT1G02140,-,1:403190-404456,403190,404456,1267,785,-0.405049540284594,8.32287051845387e-07,2.761301180229e-06
92,AT1G02145,-,1:404600-408619,404600,408619,4020,1724,1.51044666654817,6.33766736059146e-05,0.0001672805405412
93,AT1G02150,-,1:408622-410611,408622,410611,1990,1910,0.788600650834422,3.27288657688093e-11,1.65525503095536e-10
94,AT1G02160,-,1:410748-411597,410748,411597,850,567,0.393701803450641,1.78443257888796e-06,5.71301521980237e-06
95,AT1G02170,-,1:411779-413554,411779,413554,1776,1336,0.572579757641483,0.0127878465694264,0.0232149368737626
96,AT1G02180,-,1:413522-414645,413522,414645,1124,918,-0.346878209598233,0.0026368717906263,0.0054077280089216
97,AT1G02220,-,1:428814-430647,428814,430647,1834,1353,-0.121042616862546,0.0777624287731183,0.118358522102125
98,AT1G02260,-,1:440441-442877,440441,442877,2437,2146,1.20833673694967,1.80626856161628e-30,2.85405805233768e-29
99,AT1G02270,-,1:443149-446235,443149,446235,3087,1645,-0.647350487927693,7.81712703683142e-21,7.47336666147334e-20
100,AT1G02280,-,1:448463-450426,448463,450426,1964,1174,-0.980188018982413,2.38105928100648e-19,2.11212358390666e-18
101,AT1G02290,-,1:450527-452737,450527,452737,2211,1695,-0.192132679246323,0.0601379048370459,0.0939594665660687
102,AT1G02300,-,1:453288-455463,453288,455463,2176,1227,-0.592686858214751,0.015370973313514,0.0274877182179446
103,AT1G02305,-,1:455688-458164,455688,458164,2477,1407,-0.257812684446763,0.0179449664786996,0.0316547503699323
104,AT1G02330,-,1:462075-463612,462075,463612,1538,1058,-0.299910088330556,0.0007680795250646,0.0017239076961254
105,AT1G02335,-,1:463855-464924,463855,464924,1070,832,-1.08789544187257,5.24618628535994e-37,1.11188007504558e-35
106,AT1G02340,-,1:465718-467844,465718,467844,2127,1253,-0.181677873842159,0.220248522610177,0.295201708834864
107,AT1G02350,-,1:469818-470693,469818,470693,876,423,0.0578350383076615,0.614000603335424,0.695305593261694
108,AT1G02360,-,1:471990-473160,471990,473160,1171,1011,0.266127194549483,0.575637845431625,0.65970939742491
109,AT1G02370,-,1:474500-476511,474500,476511,2012,1758,0.614561548344093,8.15891653456365e-07,2.70787351413494e-06
110,AT1G02380,-,1:477000-478971,477000,478971,1972,1121,0.299012093093529,0.0331283670648641,0.0552268351374937
111,AT1G02400,-,1:486801-489577,486801,489577,2777,1339,0.0578687974231728,0.615042558692264,0.696117701724003
112,AT1G02410,-,1:490925-492926,490925,492926,2002,1176,1.37242598916456,4.39522553857339e-05,0.0001184350614646
113,AT1G02420,-,1:493683-495158,493683,495158,1476,1476,-1.92081817443634,1.2759799489365299e-34,2.4322221490714198e-33
114,AT1G02430,-,1:495050-496062,495050,496062,1013,698,-0.0075142361529329,0.979238916501372,1.0
115,AT1G02475,-,1:513843-515404,513843,515404,1562,929,1.59705440952639,7.523523490561319e-30,1.15153946517528e-28
116,AT1G02500,-,1:518251-520437,518251,520437,2187,1533,1.22401510445052,1.155856872093e-07,4.23517637404354e-07
117,AT1G02560,-,1:537860-540109,537860,540109,2250,1341,-0.0583760026585639,0.772525495717547,0.834217899929738
118,AT1G02610,-,1:553050-555994,553050,555994,2945,937,0.378419849149021,0.196517581165519,0.267228193759435
119,AT1G02620,-,1:557092-557986,557092,557986,895,687,0.0588477066119997,0.627158828436903,0.707401628721722
120,AT1G02630,-,1:560610-562424,560610,562424,1815,1609,-0.340353734298476,1.95436748571548e-06,6.21634174058483e-06
121,AT1G02640,-,1:564205-567769,564205,567769,3565,2584,0.456688092992025,1.63898582187402e-07,5.91321623958668e-07
122,AT1G02660,-,1:571955-574981,571955,574981,3027,2609,2.93640450286257,2.23433921941923e-23,2.47068147395696e-22
123,AT1G02670,-,1:576046-580299,576046,580299,4254,2037,0.0097743095752214,1.0,1.0
124,AT1G02680,-,1:580625-582310,580625,582310,1686,907,0.208712370549462,0.0303478475832819,0.0510083413209498
125,AT1G02690,-,1:584260-587219,584260,587219,2960,1940,0.203263790628345,0.182662149872408,0.250595246769461
126,AT1G02700,-,1:588329-589480,588329,589480,1152,1030,0.331746236046315,0.0015276933221983,0.0032589322184065
127,AT1G02710,-,1:589706-589996,589706,589996,291,291,-2.06437846004074,4.41210561469789e-62,2.59225167223041e-60
128,AT1G02720,-,1:591826-594236,591826,594236,2411,1835,0.65330713718345,9.7969561832122e-19,8.38204094458607e-18
129,AT1G02730,-,1:594573-598657,594573,598657,4085,3854,0.350348847476085,0.110506655550961,0.161650375587704
130,AT1G02740,-,1:599416-602038,599416,602038,2623,1319,-0.0659574226153586,0.685059848628303,0.760009556760102
131,AT1G02750,-,1:602497-604292,602497,604292,1796,1000,-0.160139219892124,0.0397993682881369,0.0651600592272971
132,AT1G02780,-,1:607808-609465,607808,609465,1658,1031,-0.0268283948826582,0.77882459512518,0.839750126784023
133,AT1G02810,-,1:618265-620480,618265,620480,2216,1906,0.624814856565693,1.88682496748235e-06,6.02110559406624e-06
